Latein;Deutsch
soror, sorōris f;Schwester
gaudium;Freude
aspicere, aspiciō;erblicken
āra;Altar
dīcere, dīcō;sagen, sprechen
capere, capiō;fassen, nehmen; erobern
facere, faciō;machen, tun, handeln
dūcere, dūcō;führen, ziehen
aedis, aedis f (Gen. Pl. -ium);Tempel; Pl. Haus, Gebäude
deus;Gott, Gottheit
dea;Göttin
salūs, salūtis f;Gesundheit, Glück, Rettung, Gruß
pāx, pācis f;Friede
ōrāre, ōrō (m. dopp. Akk.);bitten (jdn. um etw.), beten
hospes, hospitis m;Fremder, Gast, Gastgeber
convenīre, conveniō;besuchen, zusammenkommen, zusammenpassen
pārēre, pāreō;gehorchen, sich richten nach
aqua;Wasser
posteā Adv.;nachher, später
cibus;Nahrung, Speise
praebēre, praebeō;geben, hinhalten
bibere, bibō;trinken
cōnsulere, cōnsulō ;m. Dat. sorgen für
post Präp. m. Akk. / Adv.;hinter, nach / dann, später
ōrātiō, ōrātiōnis f;Rede
habēre, habeō;haben, halten
vōbīs Dat.;euch
grātia;Ansehen, Beliebtheit, Dank, Gefälligkeit
grātiās agere;danken
interesse, intersum m. Dat.;dazwischen sein, teilnehmen an
mōs, mōris m;Sitte, Brauch; Pl. Charakter
mōre Abl.;nach Sitte von, nach Art von
māiōrēs, māiōrum m Pl.;Vorfahren
sīcut Adv.;(so) wie
gēns Aquīlia;die (adlige) Familie der Aquilier
Larēs;die Laren
Capitōlium;das Kapitol
Iuppiter;Jupiter
Iūnō;Juno
(esse, sum), fuī;sein, sich befinden
mūnus, mūneris n;Aufgabe; Geschenk
posse, possum, potuī;können
calamitās, calamitātis f;Unglück, Niederlage, Schaden
necāre, necō;töten
marītus;Ehemann
(audīre, audiō), audīvī;hören
crēdere, crēdō;anvertrauen, glauben
mihi Dat.;mir
comes, comitis m/f;Gefährte, Begleiter(in)
mōns, montis m (Gen. Pl. -ium);Berg
multitūdō, multitūdinis f;große Zahl, Menge
vir, virī;Mann
(petere, petō), petīvī;(auf)suchen, (er)streben, bitten, verlangen
sē Akk.;sich
ubī Subj. m. Ind.;sobald
iter, itineris n;Reise, Weg, Marsch
iter facere;marschieren, reisen
mūnīre, mūniō, mūnīvī;bauen, befestigen, schützen
mūrus;Mauer
sine Präp. m. Abl.;ohne
perīculum;Gefahr
vīvere, vīvō;leben
urbs, urbis f (Gen. Pl. -ium);Stadt, Hauptstadt
egō (betont);ich
enim Adv. (nachgestellt);nämlich, in der Tat
agmen, agminis n;(Heeres-)Zug
hostis, hostis m (Gen. Pl. -ium);Feind (Landesfeind)
ā / ab Präp. m. Abl.;von, von ... her
prohibēre, prohibeō, prohibuī (ā m. Abl.);abhalten (von), hindern (an)
īra;Zorn
tēlum;(Angriffs-)Waffe, Geschoss
corripere, corripiō, corripuī;ergreifen, gewaltsam an sich reißen
ō(h);ach!, oh!
frāter, frātris m;Bruder
lacrima;Träne
tenēre, teneō, tenuī;besitzen, festhalten, halten
frustrā Adv.;vergeblich
rīpa;Ufer
servāre, servō (ā m. Abl.);bewahren, retten (vor)
alere, alō, aluī;ernähren, großziehen
domum Adv.;nach Hause
flēre, fleō, flēvī;beklagen, (be)weinen
nex, necis f;Mord, Tod
(velle, volō), voluī;wollen
(nōlle, nōlō), nōluī;nicht wollen
(cupere, cupiō), cupīvī;verlangen, wünschen, wollen
(dēpōnere, dēpōnō), dēposuī;ablegen, niederlegen, aufgeben
Palātium(mōns Palātīnus);Palatin
Tiberis, Tiberis m (Akk. Tiberim);Tiber
pōns, pontis m;Brücke
dēfendere, dēfendō;verteidigen, abwehren, schützen
(dēbēre, dēbeō), dēbuī;müssen, sollen; schulden
prīmum Adv.;erstens, zuerst, zum ersten Mal
procul Adv.;von fern, weit weg
deinde Adv.;dann, darauf
postrēmō Adv.;schließlich
propius Adv.;näher
flūmen, flūminis n;Fluss
quidem Adv.;freilich, gewiss, wenigstens, zwar
mēcum (~ cum mē);mit mir
putāre, putō;glauben, meinen; m. dopp. Akk. halten für
mūnītiō, mūnītiōnis f;Bau, Befestigung
adhūc Adv.;bis jetzt, noch
prōspicere, prōspiciō;schauen auf, sehen, vorhersehen
pūgnāre, pūgnō;kämpfen
patria;Heimat
nē ... quidem;nicht einmal
fidūcia;Vertrauen
carēre, careō, caruī m. Abl.;frei sein von, etw. nicht haben
circumvenīre, circumveniō;umringen, umzingeln
cōnfīdere, cōnfīdō;vertrauen
īnstituere, īnstituō;beginnen, einrichten, unterrichten
gladius;Schwert
repente Adv.;plötzlich
adesse, adsum, adfuī;da sein; helfen
cōnstat;es ist bekannt, es steht fest
(complēre, compleō), complēvī;anfüllen, erfüllen
Horātius Cocles, Coclitis m;Horatius Cocles 
Tuscī, Tuscōrum m Pl.; die Etrusker 
Rōmānus, a, um;römisch; Subst. Römer
magnus, a, um;groß, bedeutend
multus, a, um;viel
multī, ae;viele
multa n Pl.;viel(es)
multum Adv.;sehr, viel
bonus, a, um;gut
prīmus, a, um;der erste
lūx, lūcis f;Licht, Tageslicht
prīmā lūce;bei Tagesanbruch (wann?)
occupāre, occupō;besetzen, einnehmen
vōx, vōcis f;Äußerung, Laut, Stimme
et ... et;sowohl ... als auch
arma, armōrum n Pl.;Waffen, Gerät
terrēre, terreō, terruī;erschrecken
homō, hominis m;Mensch
causa;Ursache, Sache, Prozess
cōgnōscere, cōgnōscō, cōgnōvī;erkennen, kennenlernen
scelus, sceleris n;Verbrechen; Schurke
rēx, rēgis m;König
sors, sortis f (Gen. Pl. -ium);Los, Orakelspruch, Schicksal
miser, misera, miserum;arm, erbärmlich, unglücklich
māgnā vōce;mit lauter Stimme
inquit (in die wörtliche rede eingeschobe);sagt(e) er
colere, colō, coluī;bewirtschaften, pflegen; verehren
nox, noctis f (Gen. Pl. -ium);Nacht
multā nocte;in tiefer Nacht (wann?)
propter Präp. m. Akk.;wegen
mors, mortis f (Gen. Pl. -ium);Tod
expellere, expellō;vertreiben, verbannen
superbus, a, um;stolz, überheblich
malus, a, um;schlecht, schlimm
īgnōrāre, īgnōrō;nicht kennen, nicht wissen
nōn īgnōrāre;genau wissen, gut kennen
num (im dir. Fragesatz);etwa?
sanguis, sanguinis m;Blut, Blutvergießen
sī Subj.;falls, wenn
tūtus, a, um (ā m. Abl.);sicher (vor)
tōtus, a, um (Gen. tōtīus Dat. tōtī);ganz
līberāre, līberō;befreien, freilassen
timēre, timeō, timuī;Angst haben, fürchten
ita Adv.;so
ultimus, a, um;der äußerste, der entfernteste, der letzte
Tarquinius Superbus ; Tarquinius Superbus 
L. Iūnius Brūtus;Lucius Junius Brutus
Rōma;Rom
Tarquiniī, ōrum m Pl.;die Tarquinier
