Latein;Deutsch
petere, petō, petīvī;(auf)suchen, (er)streben, bitten, verlangen
īra;Zorn
alere, alō, aluī;ernähren, großziehen
sē Akk.;sich
prohibēre, prohibeō, prohibuī (ā m. Abl.);abhalten (von), hindern (an)
dēpōnere, dēpōnō, dēposuī;ablegen, niederlegen, aufgeben
audīre, audiō, audīvī;hören
mūnīre, mūniō, munīvī;bauen, befestigen, schützen
hostis, hostis m (Gen. Pl. -ium);Feind (Landesfeind)
ō(h);ach!, oh!
frūstrā Adv.;vergeblich
nōlle, nōlō, nōluī;nicht wollen
mihi Dat.;mir
mōns, montis m (Gen. Pl. -ium);Berg
necāre, necō;töten
posse, possum, potuī;können
iter, itineris n;Reise, Weg, Marsch
dēfendere, dēfendō;verteidigen, abwehren, schützen
flūmen, flūminis n;Fluss
adhūc Adv.;bis jetzt, noch
propius Adv.;näher
adesse, adsum, adfuī;da sein; helfen
patria;Heimat
postrēmō Adv.;schließlich
complēre, compleō, complēvī;anfüllen, erfüllen
pugnāre, pugno;kämpfen
nē ... quidem;nicht einmal
Rōmānus, a, um;römisch; Römer
mūnītiō, mūnītiōnis f;Bau, Befestigung
circumvenīre, circumveniō;umringen, umzingeln
gladius;Schwert
mēcum (~ cum mē);mit mir
fīdūcia;Vertrauen
pōns, pontis m;Brücke
quidem Adv.;freilich, gewiss, wenigstens, zwar
dēbēre, dēbeō, dēbuī;müssen, sollen; schulden
prīmum Adv.;erstens, zuerst, zum ersten Mal
procul Adv.;von fern, weit weg
prōspicere, prōspiciō;schauen auf, sehen, vorhersehen
cōnfīdere, cōnfīdō;vertrauen
Tuscī, Tuscōrum m Pl.;die Etrusker
putāre, putō;glauben, meinen; halten für
Horātius Coclēs, Coclitis m;Horatius Cocles (Held der römischen Frühzeit)
cōnstat;es ist bekannt, es steht fest
repente Adv.;plötzlich
carēre, careō, caruī m. Abl.;frei sein von, etw. nicht haben
deinde Adv.;dann, darauf
instituere, instituō;beginnen, einrichten, unterrichten
rēx, rēgis m;König
mors, mortis f (Gen. Pl. -ium);Tod
itā Adv.;so
prīmā lūce;bei Tagesanbruch (wann?)
līberāre, līberō;befreien, freilassen
miser, misera, miserum;arm, erbärmlich, unglücklich
num im dir. Fragesatz;etwa?
propter Präp. m. Akk.;wegen
causa;Ursache, Sache, Prozess
ultimus, a, um;der äußerste, der entfernteste, der letzte
colere, colō, coluī;bewirtschaften, pflegen; verehren
multum Adv.;sehr, viel
tūtus, a, um (ā m. Abl.);sicher (vor)
vōx, vōcis f;Äußerung, Laut, Stimme
et ... et;sowohl ... als auch
